occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_3_2023-08-24_0017_1,re_l_he_3_2023-08-24_0017.JPG,StillImage,,CC-BY4.0,2023-08-24T17:20:40Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-24_0017.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-25_0016_1,re_l_he_3_2023-08-25_0016.JPG,StillImage,,CC-BY4.0,2023-08-25T12:25:01Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-25_0016.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-26_0010_1,re_l_he_3_2023-08-26_0010.JPG,StillImage,,CC-BY4.0,2023-08-26T11:14:52Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-26_0010.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-26_0015_1,re_l_he_3_2023-08-26_0015.JPG,StillImage,,CC-BY4.0,2023-08-26T14:45:01Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-26_0015.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-27_0001_1,re_l_he_3_2023-08-27_0001.JPG,StillImage,,CC-BY4.0,2023-08-26T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-27_0001.JPG,image/jpeg,authenticate
re_l_he_3_2023-08-31_0017_1,re_l_he_3_2023-08-31_0017.JPG,StillImage,,CC-BY4.0,2023-08-31T09:08:47Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-08-31_0017.JPG,image/jpeg,authenticate
re_l_he_3_2023-09-01_0010_1,re_l_he_3_2023-09-01_0010.JPG,StillImage,,CC-BY4.0,2023-09-01T07:05:24Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-09-01_0010.JPG,image/jpeg,authenticate
re_l_he_3_2023-09-04_0039_1,re_l_he_3_2023-09-04_0039.JPG,StillImage,,CC-BY4.0,2023-09-04T07:57:02Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-09-04_0039.JPG,image/jpeg,authenticate
re_l_he_3_2023-09-20_0003_1,re_l_he_3_2023-09-20_0003.JPG,StillImage,,CC-BY4.0,2023-09-20T06:32:42Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-09-20_0003.JPG,image/jpeg,authenticate
re_l_he_3_2023-09-22_0024_1,re_l_he_3_2023-09-22_0024.JPG,StillImage,,CC-BY4.0,2023-09-22T15:29:37Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_3/2024/re_l_he_3_2023-09-22_0024.JPG,image/jpeg,authenticate
